date, pm25, pm10, o3, no2, so2, co
2017/5/10, , 12, 34, 4, 1, 
2017/5/11, , 7, 32, 3, 1, 
2017/5/12, , 5, 31, 5, 1, 
2017/5/13, , 8, 30, 6, 1, 
2017/5/14, , 9, 38, 9, 1, 
2017/5/15, , 12, 38, 10, 1, 
2017/5/16, , 17, 31, 8, 1, 
2017/5/17, , 15, 29, 5, 1, 
2017/5/18, , 8, 31, 6, 1, 
2017/5/19, , 16, 28, 6, 1, 
2017/5/20, , 9, 35, 8, 1, 
2017/5/21, , 11, 34, 5, 1, 
2017/5/22, , 19, 27, 5, 1, 
2017/5/23, , 12, 35, 7, 1, 
2017/5/24, , 15, 45, 12, 1, 
2017/5/25, , 18, 47, 9, 1, 
2017/5/26, , 19, 31, 8, 1, 
2017/5/27, , 22, 31, 6, 1, 
2017/5/28, , 16, 30, 6, 1, 
2017/5/29, , 10, 29, 3, 1, 
2017/5/30, , 6, 20, 4, 1, 
2017/5/31, , 8, 32, 7, 1, 
2017/6/1, , 13, 28, 5, 1, 
2017/6/2, , 11, 25, 4, 1, 
2017/6/3, , 9, 27, 5, 1, 
2017/6/4, , 7, 22, 8, 1, 
2017/6/5, , 6, 26, 4, 1, 
2017/6/6, , 10, 26, 8, 1, 
2017/6/7, , 15, 35, 8, 1, 
2017/6/8, , 13, 21, 6, 1, 
2017/6/9, , 12, 30, 4, 1, 
2017/6/10, , 14, 23, 3, 1, 
2017/6/11, , 13, 22, 4, 1, 
2017/6/12, , 9, 24, 6, 1, 
2017/6/13, , 20, 27, 5, 1, 
2017/6/14, , 16, 27, 4, 1, 
2017/6/15, , 14, 22, 5, 1, 
2017/6/16, , 13, 34, 5, 1, 
2017/6/17, , 18, 39, 6, 1, 
2017/6/18, , 17, 50, 7, , 
2017/6/19, , 18, 54, 10, , 
2017/6/20, , 18, 55, 9, , 
2017/6/21, , 22, 35, , 1, 
2017/6/22, , 22, 21, 4, , 
2017/6/23, , 16, 24, 4, , 
2017/6/24, , 22, 19, 4, , 
2017/6/25, , 11, 18, 5, 1, 
2017/6/26, , 11, 22, 4, 1, 
2017/6/27, , 11, 24, 6, 1, 
2017/6/28, , 11, 25, 4, 1, 
2017/6/29, , 9, 26, 8, 1, 
2017/6/30, , 10, 23, 3, 1, 
2017/1/3, , 23, 8, 19, 1, 
2017/1/4, , 22, 11, 21, 1, 
2017/1/5, , 17, 14, 16, 1, 
2017/1/6, , 16, 17, 16, 1, 
2017/1/7, , 18, 13, 17, 1, 
2017/1/8, , 19, 14, 19, 1, 
2017/1/9, , 15, 28, 7, 1, 
2017/1/10, , 9, 29, 2, 1, 
2017/1/11, , 5, 23, 10, 1, 
2017/1/12, , 10, 32, 2, 1, 
2017/1/13, , 10, 30, 7, 1, 
2017/1/14, , 7, 32, 3, , 
2017/1/15, , 7, 32, 5, , 
2017/1/16, , 8, 21, 8, 1, 
2017/1/17, , 8, 13, 17, 1, 
2017/1/18, , 16, 15, 17, 1, 
2017/1/19, , 17, 10, 18, 1, 
2017/1/20, , 24, 13, 19, 1, 
2017/1/21, , 20, 14, 19, 1, 
2017/1/22, , 18, 24, 16, 1, 
2017/1/23, , 16, 25, 18, 1, 
2017/1/24, , 22, 23, 16, 1, 
2017/1/25, , 19, 29, 11, 1, 
2017/1/26, , 17, 32, 7, 1, 
2017/1/27, , 9, 29, 9, 1, 
2017/1/28, , 10, 27, 5, 1, 
2017/1/29, , 5, 19, 8, 1, 
2017/1/30, , 6, 22, 6, 1, 
2017/1/31, , 8, 24, 7, 1, 
2017/2/1, , 7, 30, 4, 1, 
2017/2/2, , 6, 33, 4, 1, 
2017/2/3, , 10, 30, 8, , 
2017/2/4, , 6, 35, 2, , 
2017/2/5, , 11, 30, 21, 1, 
2017/2/6, , 12, 31, 5, 1, 
2017/2/7, , 9, 34, 3, 1, 
2017/2/8, , 9, 22, 16, 1, 
2017/2/9, , 9, 24, 8, 1, 
2017/2/10, , 6, , , , 
2017/2/13, , 12, 27, 9, 1, 
2017/2/14, , 6, 30, 10, 1, 
2017/2/15, , 9, 27, 17, 5, 
2017/2/16, , 18, 23, 17, 2, 
2017/2/17, , 19, 27, 11, 1, 
2017/2/18, , 23, 30, 10, 1, 
2017/2/19, , 19, 29, 20, 1, 
2017/2/20, , 16, 28, , , 
2017/2/21, , 13, 16, 16, , 
2017/2/22, , 23, 21, 12, 1, 
2017/2/23, , 25, 27, 12, 1, 
2017/2/24, , 12, 25, 13, 1, 
2017/2/25, , 15, 30, 13, 1, 
2017/2/26, , 19, 30, 8, 1, 
2017/2/27, , 13, 31, 10, 1, 
2017/2/28, , 10, 25, 16, 3, 
2017/3/1, , 8, 22, 16, 2, 
2017/3/2, , 15, 31, 3, 1, 
2017/3/3, , 8, , , 1, 
2017/3/4, , 7, , , 2, 
2017/3/5, , 11, 36, 3, 1, 
2017/3/6, , 17, 31, 5, 2, 
2017/3/7, , 19, 28, 5, 1, 
2017/3/8, , 7, 26, 8, 1, 
2017/3/9, , 14, 15, 15, 1, 
2017/3/10, , 21, 36, 9, 2, 
2017/3/11, , 15, 36, 3, , 
