date, pm25, pm10, o3, no2, so2, co
2020/3/30, 37, 16, 31, , 1, 1
2020/3/31, 22, 10, 29, , 1, 1
2019/10/1, 38, 22, 21, 11, , 3
2019/10/2, 31, 23, 9, 18, , 5
2019/10/3, 40, 18, 17, 15, , 1
2019/10/4, 29, 22, 25, 12, , 1
2019/10/5, 42, 18, 23, 7, , 1
2019/10/6, 36, 21, 17, 12, , 1
2019/10/7, 42, 20, 9, 11, , 1
2019/10/8, 39, 23, 21, 12, , 1
2019/10/9, 31, 27, 21, 15, , 1
2019/10/10, 36, 30, 19, 16, , 1
2019/10/11, 60, 24, 27, 6, , 1
2019/10/12, 48, 16, 26, 5, , 1
2019/10/13, 27, 12, 24, 11, , 1
2019/10/14, 13, 17, 22, 6, , 1
2019/10/15, 33, 13, 26, 2, , 1
2019/10/16, 24, 11, 19, 14, , 1
2019/10/17, 20, 15, 22, 9, , 1
2019/10/18, 34, 10, 24, 11, , 1
2019/10/19, 20, 17, 23, 10, , 1
2019/10/20, 30, 20, 16, 15, , 1
2019/10/21, 38, 16, 16, 15, , 1
2019/10/22, 32, 17, 23, 14, , 1
2019/10/23, 28, 16, 21, 9, , 1
2019/10/24, 29, 20, 28, 11, , 1
2019/10/25, 44, 30, 31, 13, , 1
2019/10/26, 64, 31, 27, 11, , 1
2019/10/27, 67, 28, 25, 6, , 1
2019/10/28, 61, 17, 20, 14, , 1
2019/10/29, 36, 14, 15, 11, , 1
2019/10/30, 27, 11, 8, 12, , 1
2019/10/31, 22, 20, 9, 2, , 1
2019/11/1, 33, 25, 23, 5, , 1
2019/11/2, 39, 27, 26, 4, , 1
2019/11/3, 36, 25, 27, 10, , 1
2019/11/4, 38, 24, 24, 12, , 2
2019/11/5, 37, 23, 18, 15, , 1
2019/11/6, 50, 17, 23, 13, , 1
2019/11/7, 34, 19, 18, 15, , 1
2019/11/8, 38, 27, 18, 14, , 1
2019/11/9, 54, 22, 15, 13, , 1
2019/11/10, 41, 22, 17, 15, , 1
2019/11/11, 46, 32, 18, 13, , 1
2019/11/12, 62, 17, 22, 13, , 1
2019/11/13, 29, 21, 29, 8, , 1
2019/11/14, 32, 22, 21, 16, , 1
2019/11/15, 37, 19, 21, 13, , 1
2019/11/16, 40, 16, 24, 6, , 1
2019/11/17, 33, 20, 15, 16, 5, 1
2019/11/18, 45, 26, 13, 16, , 1
2019/11/19, 56, 19, 16, 15, , 2
2019/11/20, 50, 18, 21, 12, , 2
2019/11/21, 31, 21, 26, 6, 1, 
2019/11/22, 35, 27, 31, 16, , 1
2019/11/23, 41, 19, 26, 5, , 1
2019/11/24, 37, 20, 24, 9, , 1
2019/11/25, 37, 21, 26, 5, , 1
2019/11/26, 34, 24, 25, 8, , 1
2019/11/27, 41, 14, 26, 10, , 1
2019/11/28, 26, 28, 12, 22, , 1
2019/11/29, 52, 20, 25, 5, , 1
2019/11/30, 30, 13, 30, 6, , 1
2019/12/1, 19, 18, 22, 15, , 1
2019/12/2, 29, 24, 15, 18, , 2
2019/12/3, 55, 32, 9, 21, 1, 2
2019/12/4, 76, 39, 9, 23, 1, 1
2019/12/5, 68, 35, 12, 15, , 2
2019/12/6, 87, 39, 9, 14, , 1
2019/12/7, 101, 27, 13, 13, , 1
2019/12/8, 67, 36, 9, 21, , 1
2019/12/9, 63, 36, 12, 19, , 1
2019/12/10, 71, 27, 24, 21, , 1
2019/12/11, 42, 22, 26, 8, , 1
2019/12/12, 32, 26, 28, 11, , 1
2019/12/13, 41, 15, 28, 3, , 1
2019/12/14, 26, 13, 29, 4, , 1
2019/12/15, 35, 11, 23, 19, 1, 1
2019/12/16, 26, 21, 20, 17, 1, 2
2019/12/17, 45, 12, 28, 2, , 1
2019/12/18, 26, 16, 33, 4, 1, 1
2019/12/19, 27, 15, 30, 12, 1, 1
2019/12/20, 22, 30, 28, 3, 1, 1
2019/12/21, 21, 52, 29, 7, , 1
2019/12/22, 66, 25, 19, 10, , 1
2019/12/23, 45, 16, 18, 14, , 2
2019/12/24, 34, 16, 25, 5, , 1
2019/12/25, 33, 34, 23, 18, , 1
2019/12/26, 60, 25, 11, 16, , 1
2019/12/27, 64, 24, 12, 14, , 1
2019/12/28, 65, 31, 11, 16, , 3
2019/7/1, 37, 14, 28, 5, , 1
2019/7/2, 30, 22, 30, 7, , 1
2019/7/3, 48, 25, 24, 8, , 1
2019/7/4, 59, 19, 22, 7, , 1
2019/7/5, 64, 18, 32, 4, , 1
2019/7/6, 107, 19, 31, 3, , 1
2019/7/7, 109, 20, 27, 8, , 1
2019/7/8, 95, 21, 35, 10, , 1
2019/7/9, 91, 23, 37, 10, , 1
2019/7/10, 93, 28, 39, 13, , 1
2019/7/11, 80, 31, 50, 15, , 1
